BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:12	Βαβυλῶνος	N-GSF	N-GSF	897	Βαβυλών	Βαβυλῶνος	
Matt 1:12	Ἰεχονίας	N-NSM	N-NSM	2423	Ἰεχονίας	Ἰεχονίας	
Matt 1:12	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:12	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:12	Σαλαθιήλ,	N-PRI	N-PRI	4528	Σαλαθιήλ	Σαλαθιήλ	
Matt 1:12	Σαλαθιὴλ	N-PRI	N-PRI	4528	Σαλαθιήλ	Σαλαθιήλ	
Matt 1:12	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:12	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:12	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:12	Ζοροβαβέλ,	N-PRI	N-PRI	2216	Ζοροβαβέλ	Ζοροβαβέλ	
Matt 1:13	Ζοροβαβὲλ	N-PRI	N-PRI	2216	Ζοροβαβέλ	Ζοροβαβέλ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἀβιούδ,	N-PRI	N-PRI	10	Ἀβιούδ	Ἀβιούδ	
Matt 1:13	Ἀβιοὺδ	N-PRI	N-PRI	10	Ἀβιούδ	Ἀβιούδ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἐλιακείμ,	N-PRI	N-PRI	1662	Ἐλιακίμ	Ἐλιακείμ	
Matt 1:13	Ἐλιακεὶμ	N-PRI	N-PRI	1662	Ἐλιακίμ	Ἐλιακείμ	
Matt 1:13	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:13	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:13	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:13	Ἀζώρ,	N-PRI	N-PRI	107	Ἀζώρ	Ἀζώρ	
Matt 1:14	Ἀζὼρ	N-PRI	N-PRI	107	Ἀζώρ	Ἀζώρ	
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Σαδώκ,	N-PRI	N-PRI	4524	Σαδώκ	Σαδώκ	
Matt 1:14	Σαδὼκ	N-PRI	N-PRI	4524	Σαδώκ	Σαδώκ	
